MODEL1707110440,'Bladder Urothelial Carcinoma'
MODEL1707110684,'Breast Invasive Carcinoma'
MODEL1707110522,'Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma'
MODEL1707110789,'Colon Adenocarcinoma'
MODEL1707110000,'Glioblastoma Multiforme'
MODEL1707110790,'Head and Neck Squamous Cell Carcinoma'
MODEL1707115853,'Kidney Chromophobe'
MODEL1707110690,'Kidney Renal Clear Cell Carcinoma'
MODEL1707110517,'Kidney Renal Papillary Cell Carcinoma'
MODEL1707110525,'Liver Hepatocellular Carcinoma'
MODEL1707110024,'Lung Adenocarcinoma'
MODEL1707110196,'Lung Squamous Cell Carcinoma'
MODEL1707110005,'Ovary Serous Cystadenocarcinoma'
MODEL1707110502,'Pancreatic Adenocarcinoma'
MODEL1707110430,'Prostate Adenocarcinoma'
MODEL1707111946,'Rectum Adenocarcinoma'
MODEL1707112675,'Skin Cuteneous Melanoma'
MODEL1707110689,'Stomach Adenocarcinoma'
MODEL1707110445,'Testicular Germ Cell Tumor'
MODEL1707110782,'Thyroid Carcinoma'
MODEL1707110783,'Uterine Corpus Endometrial Carcinoma'
