BMID000000142305,'Eubacterium'
BMID000000140669,'Acaryochloris'
BMID000000140997,'Accumulibacter'
BMID000000141044,'Acetobacter'
BMID000000140582,'Acetobacterium'
BMID000000140418,'Acetohalobium'
BMID000000141641,'Acholeplasma'
BMID000000141388,'Achromobacter'
BMID000000141191,'Acidaminococcus'
BMID000000141911,'Acidianus'
BMID000000141245,'Acidilobus'
BMID000000141888,'Acidimicrobium'
BMID000000140579,'Acidiphilium'
BMID000000141497,'Acidithiobacillus'
BMID000000141393,'Acidobacterium'
BMID000000141037,'Acidothermus'
BMID000000140718,'Acidovorax'
BMID000000141963,'Aciduliprofundum'
BMID000000141987,'Acinetobacter'
BMID000000140606,'Actinobacillus'
BMID000000141067,'Actinoplanes'
BMID000000141939,'Actinosynnema'
BMID000000140327,'Acyrthosiphon'
BMID000000142656,'Advenella'
BMID000000141967,'Aedes'
BMID000000142347,'Aequorivita'
BMID000000141559,'Aerococcus'
BMID000000140657,'Aeromonas'
BMID000000142009,'Aeropyrum'
BMID000000140465,'Aggregatibacter'
BMID000000141141,'Agrobacterium'
BMID000000141599,'Ailuropoda'
BMID000000142240,'Ajellomyces'
BMID000000140891,'Akkermansia'
BMID000000140644,'Alcanivorax'
BMID000000141259,'Alicycliphilus'
BMID000000140735,'Alicyclobacillus'
BMID000000141754,'Aliivibrio'
BMID000000142574,'Alistipes'
BMID000000140540,'Alkalilimnicola'
BMID000000141842,'Alkaliphilus'
BMID000000140973,'Allochromatium'
BMID000000142319,'Alphaproteobacteria'
BMID000000141450,'Alteromonas'
BMID000000140727,'Aminobacterium'
BMID000000140325,'Ammonifex'
BMID000000141214,'Amoebophilus'
BMID000000142278,'Amphibacillus'
BMID000000142200,'Amphimedon'
BMID000000141093,'Amycolatopsis'
BMID000000141619,'Amycolicicoccus'
BMID000000140898,'Anabaena'
BMID000000142336,'Anaerobaculum'
BMID000000140995,'Anaerocellum'
BMID000000141722,'Anaerococcus'
BMID000000140949,'Anaerolinea'
BMID000000140446,'Anaeromyxobacter'
BMID000000140344,'Anaplasma'
BMID000000141339,'Anolis'
BMID000000141627,'Anopheles'
BMID000000141714,'Anoxybacillus'
BMID000000141455,'Apis'
BMID000000140340,'Apple'
BMID000000141549,'Aquifex'
BMID000000140799,'Arabidopsis'
BMID000000141523,'Arcanobacterium'
BMID000000140871,'Archaeoglobus'
BMID000000140660,'Arcobacter'
BMID000000141330,'Aromatoleum'
BMID000000140668,'Arthrobacter'
BMID000000141028,'Arthroderma'
BMID000000141812,'Arthromitus'
BMID000000142389,'Arthrospira'
BMID000000141771,'Ashbya'
BMID000000140753,'Aspergillus'
BMID000000140978,'Aster'
BMID000000141197,'Asticcacaulis'
BMID000000140485,'Atopobium'
BMID000000140289,'Azoarcus'
BMID000000141233,'Azobacteroides'
BMID000000140621,'Azorhizobium'
BMID000000141820,'Azospirillum'
BMID000000141677,'Azotobacter'
BMID000000140622,'Babesia'
BMID000000140499,'Bacillus'
BMID000000140756,'Bacteriovorax'
BMID000000140636,'Bacteroides'
BMID000000140298,'Bartonella'
BMID000000140541,'Baumannia'
BMID000000140235,'Bdellovibrio'
BMID000000140532,'Beijerinckia'
BMID000000142667,'Belliella'
BMID000000142292,'Betaproteobacteria'
BMID000000141487,'Beutenbergia'
BMID000000142246,'Bibersteinia'
BMID000000141231,'Bifidobacterium'
BMID000000140950,'Blastococcus'
BMID000000141090,'Blattabacterium'
BMID000000140346,'Blochmannia'
BMID000000140814,'Bombyx'
BMID000000141046,'Bordetella'
BMID000000140998,'Borrelia'
BMID000000140566,'Bos'
BMID000000141780,'Botryotinia'
BMID000000140708,'Brachybacterium'
BMID000000141856,'Brachypodium'
BMID000000140436,'Brachyspira'
BMID000000141758,'Bradyrhizobium'
BMID000000140258,'Branchiostoma'
BMID000000140678,'Brevibacillus'
BMID000000140284,'Brevundimonas'
BMID000000141914,'Brucella'
BMID000000141115,'Brugia'
BMID000000140633,'Buchnera'
BMID000000141567,'Burkholderia'
BMID000000142178,'Butyrate-producing'
BMID000000141921,'Butyrivibrio'
BMID000000141468,'Caenorhabditis'
BMID000000140474,'Caldicellulosiruptor'
BMID000000141907,'Caldilinea'
BMID000000141653,'Caldisericum'
BMID000000142133,'Caldisphaera'
BMID000000140866,'Calditerrivibrio'
BMID000000141624,'Caldivirga'
BMID000000142188,'Calothrix'
BMID000000141937,'Campylobacter'
BMID000000142047,'Candida'
BMID000000141150,'Candidatus'
BMID000000141291,'Canis'
BMID000000140855,'Capnocytophaga'
BMID000000141550,'Carboxydothermus'
BMID000000142493,'Cardinium'
BMID000000140519,'Carnobacterium'
BMID000000140940,'Carsonella'
BMID000000141740,'Catenulispora'
BMID000000140986,'Caulobacter'
BMID000000140367,'Cellulomonas'
BMID000000141668,'Cellulophaga'
BMID000000142035,'Cellulosilyticum'
BMID000000140293,'Cellvibrio'
BMID000000141317,'Cenarchaeum'
BMID000000142669,'Chamaesiphon'
BMID000000140524,'Chitinophaga'
BMID000000141995,'Chlamydia'
BMID000000140487,'Chlamydomonas'
BMID000000140847,'Chlamydophila'
BMID000000141845,'Chloracidobacterium'
BMID000000141912,'Chlorobaculum'
BMID000000140762,'Chlorobium'
BMID000000140650,'Chloroflexus'
BMID000000141337,'Chloroherpeton'
BMID000000140220,'Chromobacterium'
BMID000000141749,'Chromohalobacter'
BMID000000142554,'Chroococcidiopsis'
BMID000000140496,'Ciona'
BMID000000140746,'Citrobacter'
BMID000000140350,'Clavibacter'
BMID000000140665,'Clavispora'
BMID000000141527,'Clostridiales'
BMID000000140584,'Clostridium'
BMID000000141846,'Coccidioides'
BMID000000142025,'Collimonas'
BMID000000141798,'Colwellia'
